[0.000000] (-) TimerEvent: {}
[0.000098] (-) JobUnselected: {'identifier': 'chomp_motion_planner'}
[0.000117] (-) JobUnselected: {'identifier': 'dynamixel_hardware'}
[0.000130] (-) JobUnselected: {'identifier': 'dynamixel_workbench'}
[0.000139] (-) JobUnselected: {'identifier': 'dynamixel_workbench_msgs'}
[0.000151] (-) JobUnselected: {'identifier': 'dynamixel_workbench_toolbox'}
[0.000159] (-) JobUnselected: {'identifier': 'launch_param_builder'}
[0.000170] (-) JobUnselected: {'identifier': 'moveit'}
[0.000177] (-) JobUnselected: {'identifier': 'moveit2_tutorials'}
[0.000187] (-) JobUnselected: {'identifier': 'moveit_chomp_optimizer_adapter'}
[0.000196] (-) JobUnselected: {'identifier': 'moveit_common'}
[0.000207] (-) JobUnselected: {'identifier': 'moveit_configs_utils'}
[0.000215] (-) JobUnselected: {'identifier': 'moveit_core'}
[0.000226] (-) JobUnselected: {'identifier': 'moveit_hybrid_planning'}
[0.000234] (-) JobUnselected: {'identifier': 'moveit_kinematics'}
[0.000245] (-) JobUnselected: {'identifier': 'moveit_planners'}
[0.000253] (-) JobUnselected: {'identifier': 'moveit_planners_chomp'}
[0.000262] (-) JobUnselected: {'identifier': 'moveit_planners_ompl'}
[0.000273] (-) JobUnselected: {'identifier': 'moveit_plugins'}
[0.000281] (-) JobUnselected: {'identifier': 'moveit_resources'}
[0.000293] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_description'}
[0.000301] (-) JobUnselected: {'identifier': 'moveit_resources_fanuc_moveit_config'}
[0.000312] (-) JobUnselected: {'identifier': 'moveit_resources_panda_description'}
[0.000320] (-) JobUnselected: {'identifier': 'moveit_resources_panda_moveit_config'}
[0.000331] (-) JobUnselected: {'identifier': 'moveit_resources_pr2_description'}
[0.000339] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_ikfast_manipulator_plugin'}
[0.000349] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_moveit_config'}
[0.000358] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_pg70_support'}
[0.000368] (-) JobUnselected: {'identifier': 'moveit_resources_prbt_support'}
[0.000376] (-) JobUnselected: {'identifier': 'moveit_resources_srt_description'}
[0.000387] (-) JobUnselected: {'identifier': 'moveit_ros'}
[0.000395] (-) JobUnselected: {'identifier': 'moveit_ros_benchmarks'}
[0.000406] (-) JobUnselected: {'identifier': 'moveit_ros_control_interface'}
[0.000414] (-) JobUnselected: {'identifier': 'moveit_ros_move_group'}
[0.000425] (-) JobUnselected: {'identifier': 'moveit_ros_occupancy_map_monitor'}
[0.000433] (-) JobUnselected: {'identifier': 'moveit_ros_perception'}
[0.000444] (-) JobUnselected: {'identifier': 'moveit_ros_planning'}
[0.000452] (-) JobUnselected: {'identifier': 'moveit_ros_planning_interface'}
[0.000462] (-) JobUnselected: {'identifier': 'moveit_ros_robot_interaction'}
[0.000470] (-) JobUnselected: {'identifier': 'moveit_ros_visualization'}
[0.000481] (-) JobUnselected: {'identifier': 'moveit_ros_warehouse'}
[0.000489] (-) JobUnselected: {'identifier': 'moveit_runtime'}
[0.000535] (-) JobUnselected: {'identifier': 'moveit_servo'}
[0.000546] (-) JobUnselected: {'identifier': 'moveit_setup_app_plugins'}
[0.000554] (-) JobUnselected: {'identifier': 'moveit_setup_assistant'}
[0.000565] (-) JobUnselected: {'identifier': 'moveit_setup_controllers'}
[0.000572] (-) JobUnselected: {'identifier': 'moveit_setup_core_plugins'}
[0.000583] (-) JobUnselected: {'identifier': 'moveit_setup_framework'}
[0.000591] (-) JobUnselected: {'identifier': 'moveit_setup_srdf_plugins'}
[0.000602] (-) JobUnselected: {'identifier': 'moveit_simple_controller_manager'}
[0.000610] (-) JobUnselected: {'identifier': 'moveit_task_constructor_capabilities'}
[0.000621] (-) JobUnselected: {'identifier': 'moveit_task_constructor_core'}
[0.000629] (-) JobUnselected: {'identifier': 'moveit_task_constructor_demo'}
[0.000640] (-) JobUnselected: {'identifier': 'moveit_task_constructor_msgs'}
[0.000651] (-) JobUnselected: {'identifier': 'moveit_task_constructor_visualization'}
[0.000661] (-) JobUnselected: {'identifier': 'moveit_visual_tools'}
[0.000669] (-) JobUnselected: {'identifier': 'open_manipulator_x_description'}
[0.000686] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner'}
[0.000697] (-) JobUnselected: {'identifier': 'pilz_industrial_motion_planner_testutils'}
[0.000707] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.000715] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.000726] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.000734] (-) JobUnselected: {'identifier': 'srt_config'}
[0.000745] (-) JobUnselected: {'identifier': 'srt_hardware_description'}
[0.000753] (-) JobUnselected: {'identifier': 'srt_request'}
[0.000765] (pantilt_bot_description) JobQueued: {'identifier': 'pantilt_bot_description', 'dependencies': OrderedDict([('dynamixel_workbench_toolbox', '/home/parallels/liam-workspace/install/dynamixel_workbench_toolbox'), ('dynamixel_hardware', '/home/parallels/liam-workspace/install/dynamixel_hardware')])}
[0.000787] (pantilt_bot_description) JobStarted: {'identifier': 'pantilt_bot_description'}
[0.042371] (pantilt_bot_description) JobEnded: {'identifier': 'pantilt_bot_description', 'rc': 1}
[0.053066] (-) EventReactorShutdown: {}
