                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.583,                 3.4389,                 1.6505,                0.01124,                      1,                0.24875,                0.14925,                 1.8415,                 4.4337,                 1.7457,                      0,                      0,                      0
                      2,                  1.795,                 3.3123,                 1.8357,                0.01136,                      1,                0.33167,                  0.199,                 1.8217,                 4.5065,                 1.7296,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                 1.8298,                   3.25,                 1.8506,                0.01111,                      1,                0.33167,                0.13267,                 1.7244,                 4.7592,                 1.6887,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                 1.6265,                 3.2156,                 1.5722,                0.01075,                      1,                 0.4975,                  0.199,                 1.6012,                 4.9103,                 1.6411,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                 1.7078,                 3.2831,                 1.7938,                0.01099,                      1,                  0.995,                  0.398,                 1.5234,                 4.8313,                 1.6015,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                  1.467,                 3.1424,                 1.3967,                0.01075,                      1,                  0.995,                 0.4975,                 1.4603,                 4.6475,                 1.5452,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                 1.3501,                 3.0764,                 1.4168,                0.01075,                      1,                  0.995,                 0.4975,                 1.2911,                 4.5773,                 1.5225,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 1.1713,                   3.15,                 1.3735,                 0.0101,                      1,                  0.995,                 0.4975,                 1.2503,                 4.6516,                 1.4935,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                 1.3391,                 2.9983,                 1.4158,                 0.0098,                      1,                 0.4975,                0.24875,                 1.2563,                 4.6028,                 1.4654,             0.00010527,             0.00010527,             0.00010527
                     10,                 1.0742,                 2.9687,                  1.305,                0.00935,                      1,                 0.4975,                0.24875,                 1.3392,                 4.5896,                 1.4332,             0.00011715,             0.00011715,             0.00011715
                     11,                 1.0362,                 2.7037,                 1.2965,                0.00877,                      1,                0.33167,                0.13267,                 1.4258,                 4.6745,                 1.4294,             0.00012875,             0.00012875,             0.00012875
                     12,                 1.4469,                 2.7464,                  1.463,                0.00775,                      1,                0.33167,                0.15478,                 1.6077,                 4.4356,                  1.465,             0.00014007,             0.00014007,             0.00014007
                     13,                 1.0947,                 2.8557,                 1.3789,                0.00735,                      1,                 0.4975,                0.18742,                 1.6611,                 4.4628,                 1.6488,             0.00015111,             0.00015111,             0.00015111
                     14,                 1.1598,                 2.5374,                 1.3631,                0.00704,                      1,                 0.4975,                0.25059,                  1.843,                 4.3113,                   1.63,             0.00016186,             0.00016186,             0.00016186
                     15,                 1.3664,                 2.5469,                 1.5003,                0.00699,                      1,                 0.4975,                0.20264,                  1.861,                 4.4514,                 1.8374,             0.00017233,             0.00017233,             0.00017233
                     16,                0.90836,                 2.2876,                 1.2394,                0.00704,                      1,                0.24875,                0.12563,                 1.9353,                 4.4421,                 2.1712,             0.00018252,             0.00018252,             0.00018252
                     17,                 1.2287,                 2.3939,                 1.3324,                0.00719,                      1,                 0.4975,                0.14427,                 1.8589,                 4.9029,                 2.5605,             0.00019242,             0.00019242,             0.00019242
                     18,                 1.0836,                 2.2734,                  1.238,                0.00719,                      1,                 0.4975,                0.14427,                 1.8589,                 4.9029,                 2.5605,             0.00020204,             0.00020204,             0.00020204
                     19,                 1.1971,                 2.2858,                 1.3214,                 0.0073,                      1,                0.24875,                0.09674,                 1.9065,                  4.671,                  2.866,             0.00021138,             0.00021138,             0.00021138
                     20,                0.89741,                 2.1945,                 1.0855,                 0.0073,                      1,                0.24875,                0.09674,                 1.9065,                  4.671,                  2.866,             0.00022044,             0.00022044,             0.00022044
                     21,                0.95161,                  2.144,                 1.0779,                0.00775,                      1,                0.33167,                 0.0995,                 1.8642,                 4.3332,                 2.6897,             0.00022921,             0.00022921,             0.00022921
